500,0.014515399932861328,Bucket Sort,Sim,10,2
500,0.0240018367767334,Bucket Sort,Sim,100,2
500,0.02300119400024414,Bucket Sort,Sim,1000,2
1000,0.03231334686279297,Insertion Sort,Nao,0,2
1000,0.020006656646728516,Insertion Sort,Sim,0,2
1000,0.003994464874267578,Bucket Sort,Nao,10,2
1000,0.0009987354278564453,Bucket Sort,Nao,100,2
1000,0.0019969940185546875,Bucket Sort,Nao,1000,2
1000,0.016996383666992188,Bucket Sort,Sim,10,2
1000,0.014514923095703125,Bucket Sort,Sim,100,2
1000,0.014999151229858398,Bucket Sort,Sim,1000,2
2000,0.12055540084838867,Insertion Sort,Nao,0,2
2000,0.043529510498046875,Insertion Sort,Sim,0,2
2000,0.012001276016235352,Bucket Sort,Nao,10,2
2000,0.002003908157348633,Bucket Sort,Nao,100,2
2000,0.0030002593994140625,Bucket Sort,Nao,1000,2
2000,0.026996850967407227,Bucket Sort,Sim,10,2
2000,0.014008283615112305,Bucket Sort,Sim,100,2
2000,0.014069557189941406,Bucket Sort,Sim,1000,2
5000,0.7584233283996582,Insertion Sort,Nao,0,2
5000,0.19573068618774414,Insertion Sort,Sim,0,2
5000,0.07351469993591309,Bucket Sort,Nao,10,2
5000,0.00899815559387207,Bucket Sort,Nao,100,2
5000,0.004996538162231445,Bucket Sort,Nao,1000,2
5000,0.0855245590209961,Bucket Sort,Sim,10,2
5000,0.02251911163330078,Bucket Sort,Sim,100,2
5000,0.018003225326538086,Bucket Sort,Sim,1000,2
7500,1.7389707565307617,Insertion Sort,Nao,0,2
7500,0.4136226177215576,Insertion Sort,Sim,0,2
7500,0.167527437210083,Bucket Sort,Nao,10,2
7500,0.019034862518310547,Bucket Sort,Nao,100,2
7500,0.006995677947998047,Bucket Sort,Nao,1000,2
7500,0.20106244087219238,Bucket Sort,Sim,10,2
7500,0.0319981575012207,Bucket Sort,Sim,100,2
7500,0.02051997184753418,Bucket Sort,Sim,1000,2
10000,3.035004138946533,Insertion Sort,Nao,0,2
10000,0.7304680347442627,Insertion Sort,Sim,0,2
10000,0.31609678268432617,Bucket Sort,Nao,10,2
10000,0.030000925064086914,Bucket Sort,Nao,100,2
10000,0.008996248245239258,Bucket Sort,Nao,1000,2
10000,0.3065671920776367,Bucket Sort,Sim,10,2
10000,0.047460317611694336,Bucket Sort,Sim,100,2
10000,0.021004438400268555,Bucket Sort,Sim,1000,2
15000,6.7962117195129395,Insertion Sort,Nao,0,2
15000,1.6340529918670654,Insertion Sort,Sim,0,2
15000,0.6876833438873291,Bucket Sort,Nao,10,2
15000,0.06700992584228516,Bucket Sort,Nao,100,2
15000,0.01606607437133789,Bucket Sort,Nao,1000,2
15000,0.7056207656860352,Bucket Sort,Sim,10,2
15000,0.08824825286865234,Bucket Sort,Sim,100,2
15000,0.03171873092651367,Bucket Sort,Sim,1000,2
30000,28.012884855270386,Insertion Sort,Nao,0,2
30000,6.717593669891357,Insertion Sort,Sim,0,2
30000,2.685701847076416,Bucket Sort,Nao,10,2
30000,0.2526390552520752,Bucket Sort,Nao,100,2
30000,0.03999781608581543,Bucket Sort,Nao,1000,2
30000,2.9759457111358643,Bucket Sort,Sim,10,2
30000,0.27934813499450684,Bucket Sort,Sim,100,2
30000,0.05300736427307129,Bucket Sort,Sim,1000,2
100,0.0009999275207519531,Insertion Sort,Nao,0,3
100,0.024000167846679688,Insertion Sort,Sim,0,3
100,0.0,Bucket Sort,Nao,10,3
100,0.0,Bucket Sort,Nao,100,3
100,0.0010018348693847656,Bucket Sort,Nao,1000,3
100,0.02100205421447754,Bucket Sort,Sim,10,3
100,0.03427004814147949,Bucket Sort,Sim,100,3
100,0.031746864318847656,Bucket Sort,Sim,1000,3
200,0.0020203590393066406,Insertion Sort,Nao,0,3
200,0.022750139236450195,Insertion Sort,Sim,0,3
200,0.0,Bucket Sort,Nao,10,3
200,0.0,Bucket Sort,Nao,100,3
200,0.00252532958984375,Bucket Sort,Nao,1000,3
200,0.025478363037109375,Bucket Sort,Sim,10,3
200,0.028000354766845703,Bucket Sort,Sim,100,3
200,0.022565841674804688,Bucket Sort,Sim,1000,3
500,0.012000083923339844,Insertion Sort,Nao,0,3
500,0.0325472354888916,Insertion Sort,Sim,0,3
500,0.0020012855529785156,Bucket Sort,Nao,10,3
500,0.001001596450805664,Bucket Sort,Nao,100,3
500,0.0030007362365722656,Bucket Sort,Nao,1000,3
500,0.021999120712280273,Bucket Sort,Sim,10,3
500,0.02252984046936035,Bucket Sort,Sim,100,3
500,0.021150588989257812,Bucket Sort,Sim,1000,3
1000,0.03500509262084961,Insertion Sort,Nao,0,3
1000,0.025057554244995117,Insertion Sort,Sim,0,3
1000,0.005000114440917969,Bucket Sort,Nao,10,3
1000,0.0010042190551757812,Bucket Sort,Nao,100,3
1000,0.0020034313201904297,Bucket Sort,Nao,1000,3
1000,0.020997285842895508,Bucket Sort,Sim,10,3
1000,0.020074844360351562,Bucket Sort,Sim,100,3
1000,0.017998695373535156,Bucket Sort,Sim,1000,3
2000,0.13852643966674805,Insertion Sort,Nao,0,3
2000,0.049547672271728516,Insertion Sort,Sim,0,3
2000,0.013000965118408203,Bucket Sort,Nao,10,3
2000,0.001995563507080078,Bucket Sort,Nao,100,3
2000,0.002998828887939453,Bucket Sort,Nao,1000,3
2000,0.02621603012084961,Bucket Sort,Sim,10,3
2000,0.01900172233581543,Bucket Sort,Sim,100,3
2000,0.016002416610717773,Bucket Sort,Sim,1000,3
5000,0.8222482204437256,Insertion Sort,Nao,0,3
5000,0.30760884284973145,Insertion Sort,Sim,0,3
5000,0.10854721069335938,Bucket Sort,Nao,10,3
5000,0.016999006271362305,Bucket Sort,Nao,100,3
5000,0.008996248245239258,Bucket Sort,Nao,1000,3
5000,0.11818242073059082,Bucket Sort,Sim,10,3
5000,0.0466303825378418,Bucket Sort,Sim,100,3
5000,0.02501225471496582,Bucket Sort,Sim,1000,3
7500,2.191272258758545,Insertion Sort,Nao,0,3
7500,0.7945411205291748,Insertion Sort,Sim,0,3
7500,0.2750816345214844,Bucket Sort,Nao,10,3
7500,0.026000022888183594,Bucket Sort,Nao,100,3
7500,0.015002965927124023,Bucket Sort,Nao,1000,3
7500,0.30963611602783203,Bucket Sort,Sim,10,3
7500,0.05500006675720215,Bucket Sort,Sim,100,3
7500,0.03954195976257324,Bucket Sort,Sim,1000,3
10000,3.9607882499694824,Insertion Sort,Nao,0,3
10000,0.8177552223205566,Insertion Sort,Sim,0,3
10000,0.32161402702331543,Bucket Sort,Nao,10,3
10000,0.036516427993774414,Bucket Sort,Nao,100,3
10000,0.010999917984008789,Bucket Sort,Nao,1000,3
10000,0.36185622215270996,Bucket Sort,Sim,10,3
10000,0.05270648002624512,Bucket Sort,Sim,100,3
10000,0.02953648567199707,Bucket Sort,Sim,1000,3
15000,7.391218423843384,Insertion Sort,Nao,0,3
15000,1.8580420017242432,Insertion Sort,Sim,0,3
15000,0.7450439929962158,Bucket Sort,Nao,10,3
15000,0.07854890823364258,Bucket Sort,Nao,100,3
15000,0.016996383666992188,Bucket Sort,Nao,1000,3
15000,0.7514960765838623,Bucket Sort,Sim,10,3
15000,0.09552431106567383,Bucket Sort,Sim,100,3
15000,0.031001567840576172,Bucket Sort,Sim,1000,3
30000,29.39951252937317,Insertion Sort,Nao,0,3
30000,7.61095929145813,Insertion Sort,Sim,0,3
30000,2.918928623199463,Bucket Sort,Nao,10,3
30000,0.285189151763916,Bucket Sort,Nao,100,3
